ID,Year,Month,Day,Country,Region,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Details,,,
28,1997,10,,Angola,,,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,U,Am,U,2 INGO international (German) staff killed in ambush.,,,
25,1997,10,,Angola,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,1 UN national staff driver killed in ambush.,,,
27,1997,10,18,Afghanistan,Mazar-i-Sharif ,Anchoy-Shibirgan road. 200 kilometres west of Mazar-i-Sharif,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,C,R,1 ICRC national staff killed by stray bullet when three ICRC cars caught in crossfire Anchoy-Shibirgan road 200 kilometres west of Mazar-i-Sharif on Oct 18.,,,
29,1997,10,23,Chechnya,Grozny,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,K,U,U,2 INGO international (Hungarian) staff kidnapped in Grozny on Oct 23 and held for 9 months. Severe abuse (multilations). Ransom paid by Hungarian govt.,,,
31,1997,11,,Congo,,,0,0,0,3,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,U,Am,U,1 ICRC natl staff killed and 2 wounded in ambush.,,,
30,1997,11,22,Somalia,,,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,K,U,U,3 UN national staff (from two agencies) and 1 from another UN body abducted by gunmen on Nov 22 and released the next day. Involved a charcoal trade dispute.,,,
32,1997,11,26,Somalia,Deganlei ,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,K,R,OC,"2 INGO international staff (Italian) were kidnapped after 1-hour armed attack on base in Deganlei on Nov 26. Organized by Mogadishu businessman who had a trade dispute with the then Vice Governor of Balad, Mohamed Abshir.",,,
34,1997,12,,Tajikistan,,,0,2,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,1,1,0,KK,IA,U,"2 INGO international staff (of two different organizations) kidnapped. One victim was fatally wounded when her abductors set off a grenade to kill themselves and their hostage. The other victim was rescued, unharmed.",,,
33,1997,12,17,Chechnya,,,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,K,U,U,5 INGO international (Polish) staff kidnapped by 15 armed men on Dec 17.,,,
61,1998,,,,,,0,0,0,6,0,0,3,2,0,5,1,0,0,1,4,2,0,6,0,0,0,U,R,U,"1 ICRC international and 3 national staff killed, and 2 nationals wounded, sometime during year.",,,
62,1998,,,Burundi,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,R,OC,1 INGO national staff killed in armed robbery on a team house. Month unknown.,,,
37,1998,1,,Sri Lanka,Vavuniya,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,R,U,"1 ICRC national staff murdered when working as a night watchman at the ICRC sub-delegation in Vavuniya, when the sub-delegation",,,
38,1998,1,,DR Congo,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,1 ICRC national staff driver killed in ambush.,,,
36,1998,1,29,Chechnya,North Ossetia,,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,2,2,0,0,K,U,U,1 UN international (French) staff kidnapped and 1 UN national staff driver beaten at gunpoint in N. Ossetia on Jan 29.,,,
42,1998,3,,Rwanda,,,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,U,R,PS,3 INGO staff killed in armed assault on camp (presumed here to be natl staff).,,,
40,1998,3,6,Uganda,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,U,U,1 UN national staff killed March 6.,,,
39,1998,3,22,Sierra Leone,Segbwema,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,C,U,1 ICRC national staff member (and his son) killed during killed in an exchange of fire between ECOMOG and the AFRC/RUF near Segbwema.,,,
44,1998,4,,Sudan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,AB,U,PS,1 INGO national staff killed in hospital bombing.,,,
45,1998,4,,Burundi,Bujumbura,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,U,Am,U,"1 INGO international staff ambushed and killed by bandits in Bujumbura, April 22.",,,
43,1998,4,15,Somalia,Mogadishu,,0,0,1,7,2,0,0,0,1,1,0,0,9,9,0,0,10,10,0,0,10,K,Am,R,"9 internationals and 1 national working for ICRC/IFRC kidnapped as their aircraft landed in Mogadishu (5 ICRC internationals, 2 IFRC delegates, 1 national RC worker kidnapped along with 2 pilots (labelled here as ICRC)). The victims were a Somali, an American, a South African.",,,
48,1998,6,,Burundi,Bujumbura,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,U,Am,U,1 INGO international (Danish) staff killed by car thieves in Bujumbura.,,,
46,1998,6,9,Sudan,South Kordofan,,2,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,0,6,0,0,3,S,Am,R,2 UN national staff killed along with 1 national RC worker were killed when gunmen fired on UN vehicle in South Kordofan June 9 (3 other RC workers wounded).,,,
47,1998,6,25,Ethiopia,travelling from Gode to Degeh Bur,,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,K,Am,R,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation for",,,
50,1998,7,,Somalia,,,7,0,0,0,0,0,2,5,0,7,0,0,0,0,2,5,0,7,0,0,7,U,Am,R,2 UN national staff killed and 5 wounded when convoy attacked.,,,
49,1998,7,8,Uganda,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,R,1 UN national staff killed in ambush by guerrillas from the Uganda National Rescue Front II on July 8. Vehicle also robbed and blown up.,,,
53,1998,7,11,Burundi,Bubanza,RN 9 in Gihanga commune ,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,U,Am,PS,2 INGO national staff killed in ambush on RN 9 in Bubanza's Gihanga commune July 11.,,,
51,1998,7,13,Afghanistan,Jalalabad,,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,KK,U,U,2 UN national staff from different agencies kidnapped in or near Jalalabad on July 13 and later found dead.,,,
52,1998,7,24,Burundi,Bujumbura,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,U,IA,U,1 UN international staffer killed in Bujumbura on July 24.,,,
55,1998,8,,Kosovo,,,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,U,IA,R,3 NGO national staff killed while delivering INGO parcels.,,,
54,1998,8,,Afghanistan,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,C,U,1 UN national staff killed while fleeing advancing Taliban forces. Discovered Nov 27.,,,
57,1998,9,,Somalia,Mogadishu,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,K,U,U,1 INGO international (Italian) staff working at an INGO run hosiptal kidnapped and held for several days.,,,
56,1998,9,,Kosovo,,,0,0,0,4,0,0,1,2,0,3,0,1,0,1,1,3,0,4,0,0,4,LM,Am,R,"1 ICRC national staff killed and 3 ICRC (1 international New Zealand, 2 nationals) staff wounded when ICRC car hit landmine.",,,
59,1998,11,,Angola,,,3,0,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,0,0,3,U,Am,R,2 UN natlional staff killed and 1 wounded in convoy ambush.,,,
58,1998,11,14,Angola,Kuito,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,R,OC,1 UN national staff shot and killed while guarding warehouse in Kuito on Nov 14.,,,
60,1998,12,,Angola,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,IA,U,1 INGO national staff killed.,,,
94,1999,,,,,,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,2,0,2,0,0,2,U,U,U,1 ICRC international staff wounded and 1 national wounded sometime during year.,,,
67,1999,1,,Yemen,,,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,K,R,U,"4 INGO international (2 British, 2 Dutch) staff kidnapped by armed tribesmen and later released.",,,
66,1999,1,,Somalia,Gede,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,S,U,U,1 NGO international (Kenyan) staff shot dead in Gede region. Incident possibly stemmed from a labour dispute.,,,
64,1999,1,,Somalia,,Mogadishu/Lenin Road,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,U,Am,R,"2 INGO national staff killed in ambush in south Mogadishu, Lenin Road. Not clear if the attack aimed at the organization",,,
65,1999,1,,Sierra Leone,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,IA,,1 INGO national staff killed in house attack.,,,
63,1999,1,2,Angola,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,S,U,R,1 UN national staff killed when MONUA chartered plane shot down Jan 2.,,,
68,1999,2,18,Sudan,,Bentiu,0,0,4,2,0,0,4,0,0,4,0,0,2,2,4,0,2,6,0,0,6,KK,U,U,"2 ICRC international (Swiss) staff and 4 national RC workers kidnapped. Swiss released in March, Sudanese killed April.",,,
69,1999,3,,Somalia,lower Juba,Ras Kambooni,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,BBIED,IA,PS,"1 INGO international staff killed in Ras Kambooni, lower Juba, while meeting with elders. Suspected to be carried out by Al-Ittihad militia.",,,
71,1999,4,,Somalia,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,K,U,U,1 INGO international (Italian) staff kidnapped for ransom and released with ransom unpaid.,,,
73,1999,4,,Ethiopia,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,K,U,U,1 INGO international (French) staff kidnapped and later released,,,
70,1999,4,,Afghanistan,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,AB,U,U,1 ICRC national staff killed in air raid.,,,
72,1999,4,14,Angola,,,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,U,Am,U,5 INGO and NGOs national staff killed in ambush April 14.,,,
74,1999,5,,Sudan,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,U,R,R,1 UN national staff killed and 2 wounded when relief barge on Nile in Sudan was attacked.,,,
75,1999,5,15,Chechnya,Kabardino-Balkaria,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,K,U,U,1 ICRC international staff kidnapped in Kabardino-Balkaria May 15. Released July 19.,,,
77,1999,6,,Somalia,Awdal,Baki,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,K,U,U,"2 UN national staff kidnapped by militia in Baki, released after intervention by UN and authorities.",,,
76,1999,6,,Burundi,Baki,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,S,U,U,1 UN national staff injured when vehicle shot at by suspected Hutu rebels.,,,
79,1999,6,,Angola,Uije,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,U,Am,R,2 INGO national staff killed when 80-truck convoy was ambushed in the north Angolan province of Uije including some aid vehicles June 16. Approx 60 dead or missing including 54 civilians.,,,
78,1999,6,,Angola,Bengo ,Barraca,0,4,0,0,0,0,2,2,0,4,0,0,0,0,2,2,0,4,1,0,3,U,Am,PS,"2 INGO national staff killed and 2 wounded when ambushed by armed men wearking UNITA uniforms during polio eradication campaign in Barraca, Bengo Province.",,,
80,1999,7,24,Burundi,Bujumbura,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,U,U,U,1 UN international (Italian) staff killed in Bujumbura July 24.,,,
82,1999,8,,Indonesia,East Timor,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,U,U,1 INGO national staff found murdered in E. Timor.,,,
